GROUP,DENSITY,npp,biodiv,pathos,ID,DENZ,ID2,biodivZ,nppZ,pathosZ
White Knife Shoshoni,0.1171,383.5242239,0.188031528,-0.846525832,HG,-0.341388889,0,-0.542631943,-1.012301562,-0.974577042
Yakima,0.27,383.5242239,0.21358822,-0.918623329,HG,0.083333333,0,-0.360084143,-1.012301562,-1.110610055
Great Whale Inuit,0.0186,395.0350514,0.096263699,-0.97249135,HG,-0.615,0,-1.198116436,-0.995594991,-1.21224783
Mardudjara,0.0075,397.3860935,0.114560559,-0.236962991,HG,-0.645833333,0,-1.067424579,-0.992182738,0.175541526
Ket,0.0164,403.2706728,0.161573213,-0.67552678,HG,-0.621111111,0,-0.731619907,-0.983641984,-0.651937321
Nabesna,0.00667,403.2706728,0.114973404,-0.935714785,HG,-0.648138889,0,-1.064475686,-0.983641984,-1.142858085
Pyramid Lake Paiute,0.1853,406.012444,0.205976265,-0.815652315,HG,-0.151944444,0,-0.41445525,-0.979662636,-0.916325123
Owens Valley Paiute,0.3804,414.6102025,0.223552901,-0.724020379,HG,0.39,0,-0.28890785,-0.967184031,-0.743434677
Saline Valley Shoshoni,0.0232,416.3263315,0.194444598,-0.715928888,HG,-0.602222222,0,-0.4968243,-0.964693278,-0.728167713
Ildawongga,0.0045,423.1794638,0.112654358,-0.298812644,HG,-0.654166667,0,-1.0810403,-0.954746787,0.058844068
Jankundjara,0.01,423.1794638,0.131715912,-0.449828808,HG,-0.638888889,0,-0.944886343,-0.954746787,-0.226092091
Rainroad Valley Shoshoni,0.0428,424.8899047,0.17778278,-0.784527026,HG,-0.547777778,0,-0.615837286,-0.952264289,-0.857598162
Koso Mountain Shoshoni,0.0857,430.0144183,0.194976853,-0.698304643,HG,-0.428611111,0,-0.493022479,-0.944826679,-0.694914421
Sivokamiut Inuit,0.15,433.2429043,0.04105451,-0.856185664,HG,-0.25,0,-1.592467786,-0.940140923,-0.99280314
Holikachuk,0.0152,437.6726459,0.105696422,-0.921255654,HG,-0.624444444,0,-1.130739843,-0.93371169,-1.115576706
Wind River Shoshoni,0.0187,440.2328722,0.228729334,-0.895374269,HG,-0.614722222,0,-0.251933329,-0.929995831,-1.066743904
Spring Valley Shoshoni,0.0609,445.326853,0.199331543,-0.818227501,HG,-0.4975,0,-0.46191755,-0.922602536,-0.921183964
Mistassini Cree,0.0058,446.6447582,0.120757432,-0.946179803,HG,-0.650555556,0,-1.0231612,-0.920689756,-1.162603402
Norton Sound Inuit,0.0761,446.6447582,0.104097123,-0.904863803,HG,-0.455277778,0,-1.142163407,-0.920689756,-1.084648685
Serrano,0.1758,448.7172072,0.177825862,-0.649101624,HG,-0.178333333,0,-0.615529557,-0.917681847,-0.602078536
/Xam,0.0243,455.4844235,0.243734853,-0.154677328,HG,-0.599166667,0,-0.14475105,-0.907860053,0.330797494
Montagnais,0.0041,455.7680801,0.118402843,-0.904472403,HG,-0.655277778,0,-1.039979693,-0.90744836,-1.083910194
Tahltan,0.0116,455.7680801,0.150181488,-0.962444908,HG,-0.634444444,0,-0.812989371,-0.90744836,-1.193292279
Coahuilenos,0.0168,457.173421,0.205038002,-0.185583392,HG,-0.62,0,-0.421157129,-0.905408678,0.272484166
Tenino,0.19,458.8612974,0.211221062,-0.913055431,HG,-0.138888889,0,-0.376992414,-0.90295893,-1.100104587
Slave,0.0055,460.3868231,0.137500383,-0.967503512,HG,-0.651388889,0,-0.903568693,-0.900744814,-1.202836815
Barkindji,0.1543,462.2336899,0.179047127,-0.464970437,HG,-0.238055556,0,-0.606806236,-0.898064311,-0.254661202
Karuwali,0.02,463.9182074,0.152476039,-0.435617897,HG,-0.611111111,0,-0.796599721,-0.895619438,-0.199279051
